date,city,temperature_c,humidity_pct,wind_speed_mps,rainfall_mm,traffic_index,industrial_index,construction_index,festival_flag,crop_burning_flag,pm25,pm10,no2,so2,co,o3,pollution_event_text,aqi
2021-01-01,Delhi,9.98,66.99,4.11,0.0,28.59,50.02,64.64,0,0,58.25,122.39,28.35,13.25,1.067,10.82,normal urban conditions,177.03
2021-01-02,Bengaluru,13.8,63.53,2.85,0.0,41.04,71.32,48.6,0,0,79.12,120.47,35.04,19.45,1.164,22.43,industrial emissions,179.57
2021-01-03,Bengaluru,12.51,80.74,3.19,0.0,45.8,39.1,70.83,0,0,64.02,91.69,43.71,16.11,1.198,7.53,construction activity,180.78
2021-01-04,Hyderabad,11.19,78.42,2.41,0.0,76.94,25.57,79.42,0,0,86.33,109.32,49.67,11.23,1.29,16.47,"heavy traffic, construction activity",217.19
2021-01-05,Hyderabad,14.35,76.31,4.28,0.0,74.88,27.0,64.16,0,0,74.98,117.15,32.54,11.01,1.207,17.52,normal urban conditions,164.85
2021-01-06,Chennai,21.91,69.27,2.37,0.0,57.19,62.47,36.59,0,0,93.18,119.37,42.28,16.29,1.473,22.57,normal urban conditions,219.41
2021-01-07,Delhi,17.8,69.8,4.98,0.0,53.22,56.66,47.21,0,0,44.71,107.78,45.13,14.21,1.282,24.89,normal urban conditions,237.02
2021-01-08,Bengaluru,21.81,73.5,2.82,0.0,73.46,39.53,59.47,0,0,69.03,108.75,38.05,10.51,1.41,14.03,normal urban conditions,176.05
2021-01-09,Mumbai,19.17,77.73,3.22,0.0,43.93,31.14,64.75,0,0,54.59,109.17,29.53,11.09,0.935,23.95,normal urban conditions,154.1
2021-01-10,Delhi,20.29,76.71,4.11,0.0,69.32,47.13,46.45,0,0,74.79,101.39,61.81,15.89,1.297,20.1,normal urban conditions,233.53
2021-01-11,Hyderabad,15.24,70.13,3.23,0.0,67.96,72.1,36.66,0,0,72.08,113.04,49.38,15.87,1.438,12.42,industrial emissions,234.83
2021-01-12,Chennai,19.51,82.01,2.84,0.0,57.61,36.96,79.68,1,0,85.59,152.44,47.37,12.69,1.174,9.64,"construction activity, festival fireworks",194.61
2021-01-13,Bengaluru,20.12,70.0,3.16,0.0,68.36,40.07,26.55,0,0,65.14,104.38,54.2,12.84,1.299,33.89,normal urban conditions,196.85
2021-01-14,Bengaluru,16.21,76.78,4.27,0.0,63.63,30.57,29.17,0,0,54.65,89.53,34.72,17.22,1.042,17.21,normal urban conditions,161.12
2021-01-15,Bengaluru,19.62,70.89,2.4,0.0,69.96,45.39,21.46,0,0,70.39,94.82,49.37,16.43,1.497,17.8,normal urban conditions,212.35
2021-01-16,Bengaluru,19.64,70.52,3.05,0.0,40.65,58.09,29.13,0,0,68.08,109.22,50.76,18.41,1.053,12.33,normal urban conditions,208.44
2021-01-17,Hyderabad,16.29,63.04,3.21,0.0,71.83,90.07,72.95,0,0,78.68,148.13,59.21,24.17,1.751,27.01,"construction activity, industrial emissions",257.06
